Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
11-22-2024,46759.50616893388,2013 M3,46350,1.68,-0.54,5.61
01-02-2014,49900.0,1989 M3,140856,5.21,66.01,40.87
09-05-2014,49800.0,1989 M3,140856,5.21,66.01,40.87
10-16-2014,49800.0,1989 M3,140856,5.21,66.01,40.87
01-06-2015,47728.8,1989 M3,140856,5.21,66.01,40.87
02-16-2015,47495.0,1989 M3,140856,5.21,66.01,40.87
03-29-2015,47741.971830985916,1989 M3,140856,5.21,66.01,40.87
05-09-2015,50000.0,1989 M3,140856,5.21,66.01,40.87
06-19-2015,62432.391304347824,1989 M3,140856,5.21,66.01,40.87
07-30-2015,39995.0,1989 M3,140856,5.21,66.01,40.87
09-09-2015,42260.28301886792,1989 M3,140856,5.21,66.01,40.87
10-20-2015,44925.27777777778,1989 M3,140856,5.21,66.01,40.87
11-30-2015,36710.44776119403,1989 M3,140856,5.21,66.01,40.87
01-10-2016,53829.14893617021,1989 M3,140856,5.21,66.01,40.87
02-20-2016,57633.28125,1989 M3,140856,5.21,66.01,40.87
04-01-2016,62052.08396464647,1989 M3,140856,5.21,66.01,40.87
05-12-2016,62918.10975609756,1989 M3,140856,5.21,66.01,40.87
06-22-2016,61442.5,1989 M3,140856,5.21,66.01,40.87
08-02-2016,61442.5,1989 M3,140856,5.21,66.01,40.87
09-12-2016,64407.16216216216,1989 M3,140856,5.21,66.01,40.87
10-23-2016,86994.28571428571,1989 M3,140856,5.21,66.01,40.87
12-03-2016,74712.6530612245,1989 M3,140856,5.21,66.01,40.87
01-13-2017,67134.2,1989 M3,140856,5.21,66.01,40.87
02-23-2017,62403.65853658537,1989 M3,140856,5.21,66.01,40.87
04-05-2017,62750.0,1989 M3,140856,5.21,66.01,40.87
05-16-2017,57840.50375,1989 M3,140856,5.21,66.01,40.87
06-26-2017,56183.34747023809,1989 M3,140856,5.21,66.01,40.87
08-06-2017,72219.99320652174,1989 M3,140856,5.21,66.01,40.87
09-16-2017,67158.16981132075,1989 M3,140856,5.21,66.01,40.87
10-27-2017,67193.12307363014,1989 M3,140856,5.21,66.01,40.87
12-07-2017,67956.11173184357,1989 M3,140856,5.21,66.01,40.87
01-17-2018,70174.2307464455,1989 M3,140856,5.21,66.01,40.87
02-27-2018,65278.31669776119,1989 M3,140856,5.21,66.01,40.87
04-09-2018,71411.43324416342,1989 M3,140856,5.21,66.01,40.87
05-20-2018,78799.24551282052,1989 M3,140856,5.21,66.01,40.87
06-30-2018,85957.9466080402,1989 M3,140856,5.21,66.01,40.87
08-10-2018,89527.89366515836,1989 M3,140856,5.21,66.01,40.87
09-20-2018,86374.0,1989 M3,140856,5.21,66.01,40.87
10-31-2018,86260.48649878641,1989 M3,140856,5.21,66.01,40.87
12-11-2018,87674.08373205742,1989 M3,140856,5.21,66.01,40.87
01-21-2019,95492.5,1989 M3,140856,5.21,66.01,40.87
